id,name,shop,change_type,changed_columns,reason
D0239,千叶豆腐50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,category;package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0240,兰花豆串50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,category;package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0241,虎皮炸蛋,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0242,黄金鱼蛋2个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0243,日式豆腐,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,category;package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0244,培根50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0245,鸭血50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0246,麻辣肉片50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0247,鲜猪肝50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0248,潮汕肉卷50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0249,黑椒鸡肉片50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0250,桂花肠3个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0251,甜不辣2个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0252,龙虾球2个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0253,蟹排2个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0254,包心鱼卷3个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,category;package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0255,包心鱼丸2个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,category;package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0256,黄金蛋饺2个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,category;package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0257,火锅饺3个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,category;package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0258,鱼籽烧1根,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0259,鱼豆腐4个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0260,蟹棒3根,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0261,撒尿牛肉丸2颗,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0262,迷你燕饺4个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,category;package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0263,波波肠3个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0264,亲亲肠3个,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0265,油麦菜,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0266,莴笋50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0267,菠菜50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0268,金针菇50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0269,海带丝,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0270,西洋菜50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0271,空心菜50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0272,甜玉米1段,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0273,芋头条,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0328,金汤鲜切肉丝面,江西粉面,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0329,金汤鲜切肉丝粉,江西粉面,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0346,煎蛋（加料）,江西粉面,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0354,劲脆鸡腿堡+薯条+可乐,国潮汉堡,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0355,香辣鸡腿堡+薯条+可乐,国潮汉堡,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0356,劲脆鸡腿堡+黑椒鸡块+可乐,国潮汉堡,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0357,香辣鸡腿堡+黑椒鸡块+可乐,国潮汉堡,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0358,劲脆鸡腿堡+2块香骨鸡+可乐,国潮汉堡,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0359,香辣鸡腿堡+2块香骨鸡+可乐,国潮汉堡,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0360,香辣鸡腿堡+柳叶脆香鸡+可乐,国潮汉堡,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0399,苗家酸汤渔粉,五谷渔粉,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0401,原味鸡汤渔粉,五谷渔粉,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0406,原味浓汤渔粉,五谷渔粉,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0409,草鱼片（加鱼）,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0410,巴沙鱼片（加鱼）,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0411,牛肉丸（加肉）,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0412,嫩豆腐（加菜）,五谷渔粉,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0413,生菜段（加菜）,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0414,海带丝（加菜）,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0415,金针菇（加菜）,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0416,炸腐竹（加菜）,五谷渔粉,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0417,热狗肠（加菜）,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0418,大炸蛋,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0419,煎蛋,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0420,香嫩小酥肉,五谷渔粉,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0421,豆腐串,五谷渔粉,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0431,白菜饺子干捞,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0432,韭菜饺子干捞,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0433,芹菜饺子干捞,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0434,玉米饺子干捞,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0439,花生酱拌韭菜饺子,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0440,花生酱拌白菜饺子,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0441,花生酱拌芹菜饺,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0442,花生酱拌玉米饺,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0464,馄饨+蒸饺,老上海馄饨,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0465,馄饨+小笼包,老上海馄饨,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0466,米粉（加料）,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0467,香菇（加料）,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0468,玉米（加料）,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0469,腊肠（加料）,老上海馄饨,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0483,汤力气泡苏爽美式,NOWWA挪瓦咖啡,nutrition_or_existing_field,category;portion_g;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0529,伯爵红茶奶酥贝果,NOWWA挪瓦咖啡,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0535,美式爆汁热狗包,NOWWA挪瓦咖啡,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0537,脆波波（小料）,茶百道,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0538,小西米（小料）,茶百道,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0539,冻冻（小料）,茶百道,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0540,血糯米（小料）,茶百道,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0577,酱香沙茶鲜肉饭,家滋味QQ饭,nutrition_or_existing_field,category;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0580,芝士爆浆鸡排（加料）,家滋味QQ饭,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0581,奥尔良腿扒（加料）,家滋味QQ饭,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0582,香酥鸡排（加料）,家滋味QQ饭,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0583,照烧鸡扒（加料）,家滋味QQ饭,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0584,黑椒猪扒（加料）,家滋味QQ饭,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0587,牛奶燕麦包,营养早餐,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0604,五香茶叶蛋,营养早餐,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0606,绿茶芋泥饼,营养早餐,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0621,酸甜锅包肉套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0622,青椒肉片套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0623,孜然鸡丁套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0624,手撕鸡套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0625,蜜汁翅根套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0626,虫草花鸡套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0627,酸梅鸭套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0628,肉沫蒸蛋套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0629,黑椒猪扒套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0630,清蒸排骨套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0631,盐焗鸡腿套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0632,凉拌猪脚肉套餐,广式套餐,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0640,白米饭（广式单点必选）,广式套餐,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;oil_level;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0652,酸甜锅包肉（广式自选）,广式套餐,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
V0001,白米饭（湘菜小炒配餐假设）,湘菜小炒,synthetic_required_component,all,原数据缺少配餐米饭；用于形成合法正餐，价格需实地复核
V0002,白米饭（自选快餐配餐假设）,自选快餐,synthetic_required_component,all,原数据缺少配餐米饭；用于形成合法正餐，价格需实地复核
